Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),Height 1 (mm),Height 2 (mm)
38.77,0.17,-0.54,9.44,0.00,93.0,19.8,17.25,38.23,1.85,-5.52
38.81,0.16,-0.40,9.43,0.00,93.0,19.8,16.77,38.50,4.35,-8.02
38.85,0.16,-0.19,9.48,0.00,93.0,19.8,17.13,38.50,5.60,-9.28
38.89,0.18,-0.46,9.41,0.00,93.0,19.8,16.89,38.23,6.85,-11.78
38.93,0.21,-0.60,9.37,0.00,93.0,19.8,16.89,38.23,10.60,-13.04
38.97,0.17,-0.35,9.35,0.00,93.0,19.8,16.53,38.50,11.85,-15.54
39.01,0.19,-0.28,9.31,0.00,93.0,19.8,17.01,37.96,11.85,-18.05
39.05,0.20,-0.24,9.27,0.00,93.0,19.8,16.89,37.43,15.60,-18.05
39.09,0.20,-0.14,9.31,0.00,93.0,19.8,16.89,38.23,15.60,-21.81
39.13,0.18,-0.27,9.32,0.00,93.0,19.8,16.89,37.96,16.85,-21.81
39.17,0.18,-0.04,9.24,0.00,93.0,19.8,16.77,38.23,16.85,-24.32
39.21,0.16,0.04,9.34,0.00,93.0,19.8,16.89,37.96,16.85,-23.07
39.25,0.20,-0.08,9.33,0.00,93.0,19.8,16.77,38.23,18.09,-21.81
39.29,0.18,0.23,9.28,0.00,93.0,19.8,17.13,37.96,16.85,-20.56
39.33,0.18,0.36,9.31,0.00,93.0,19.8,17.13,37.96,18.09,-18.05
39.37,0.15,0.43,9.29,0.00,93.0,19.8,16.77,37.96,18.09,-15.54
39.41,0.15,0.62,9.21,0.00,93.0,19.8,17.01,37.96,14.35,-14.29
39.45,0.19,0.56,9.20,0.00,93.0,19.8,16.89,37.96,14.35,-10.53
39.49,0.20,0.96,9.22,0.00,93.0,19.8,16.89,38.23,10.60,-8.02
39.53,0.15,1.02,9.26,0.00,93.0,19.8,17.25,38.23,9.35,-5.52
39.57,0.16,1.15,9.30,0.00,93.0,19.8,16.65,37.96,8.10,-1.75
39.61,0.20,1.27,9.23,0.00,93.0,19.8,16.77,38.50,5.60,0.75
39.65,0.18,1.41,9.30,0.00,93.0,19.8,17.01,37.96,3.10,3.26
39.69,0.14,1.87,9.27,0.00,93.0,19.8,17.13,37.96,-0.65,5.77
39.73,0.17,1.75,9.21,0.00,93.0,19.8,17.13,38.50,-4.40,7.02
39.77,0.13,1.82,9.21,0.00,93.0,19.8,16.77,38.23,-5.65,12.03
39.81,0.09,2.08,9.19,0.00,93.0,19.8,16.77,38.23,-8.15,14.54
39.85,0.13,2.07,9.30,0.00,93.0,19.8,16.89,38.23,-10.65,17.05
39.89,0.16,2.09,9.31,0.00,93.0,19.8,17.25,38.23,-14.40,17.05
39.93,0.11,2.20,9.27,0.00,93.0,19.8,17.01,38.50,-14.40,20.81
39.97,0.17,2.09,9.26,0.00,93.0,19.8,16.77,37.96,-18.14,23.32
40.01,0.13,2.26,9.19,0.00,93.0,19.8,17.25,37.96,-20.64,24.57
40.05,0.14,2.24,9.21,0.00,93.0,19.8,17.01,37.96,-21.89,24.57
40.09,0.16,2.05,9.21,0.00,93.0,19.8,16.89,38.23,-25.64,24.57
40.13,0.18,2.01,9.22,0.00,93.0,19.8,16.89,37.96,-25.64,24.57
40.17,0.16,1.72,9.22,0.00,93.0,19.8,17.01,37.96,-26.89,23.32
40.21,0.17,1.72,9.27,0.00,93.0,19.8,17.01,37.96,-25.64,23.32
40.25,0.11,1.68,9.23,0.00,93.0,19.8,16.77,38.23,-25.64,23.32
40.29,0.12,1.53,9.19,0.00,93.0,19.8,16.77,38.23,-26.89,22.06
40.33,0.11,1.52,9.19,0.00,93.0,19.8,17.01,38.50,-25.64,19.56
40.37,0.11,0.88,9.42,0.00,93.0,19.8,16.77,38.23,-24.39,19.56
40.41,0.15,0.81,9.33,0.00,93.0,19.8,17.13,38.23,-23.14,18.30
40.45,0.19,0.91,9.20,0.00,93.0,19.8,17.01,37.69,-20.64,15.79
40.49,0.20,0.97,9.00,0.00,93.0,19.8,16.77,38.23,-16.90,14.54
40.53,0.25,0.97,8.86,0.00,93.0,19.8,16.65,38.23,-16.90,9.53
40.57,0.26,0.20,9.05,0.00,93.0,19.8,16.89,38.23,-11.90,9.53
40.61,0.21,0.15,9.09,0.00,93.0,19.8,17.01,38.23,-9.40,7.02
40.65,0.18,0.59,9.10,0.00,93.0,19.8,16.89,37.96,-5.65,4.51
40.69,0.19,0.29,9.16,0.00,93.0,19.8,16.89,37.96,-5.65,2.01
40.73,0.21,-0.19,9.17,0.00,93.0,19.8,17.49,38.50,0.60,-0.50
40.77,0.22,-0.40,9.17,0.00,93.0,19.8,17.01,37.96,1.85,-3.01
40.81,0.23,-0.25,9.23,0.00,93.0,19.8,17.01,37.96,4.35,-6.77
40.85,0.15,-0.03,9.19,0.00,93.0,19.8,17.13,37.69,5.60,-5.52
40.89,0.20,-0.32,9.30,0.00,93.0,19.8,17.01,38.23,6.85,-9.28
40.93,0.18,-0.21,9.28,0.00,93.0,19.8,16.89,37.96,8.10,-11.78
40.97,0.20,-0.49,9.21,0.00,93.0,19.8,16.65,37.96,9.35,-14.29
41.01,0.20,-0.31,9.28,0.00,93.0,19.8,17.01,38.23,11.85,-18.05
41.05,0.19,-0.14,9.33,0.00,93.0,19.8,16.89,38.23,14.35,-18.05
41.09,0.21,-0.30,9.29,0.00,93.0,19.8,17.01,37.96,15.60,-21.81
41.13,0.20,-0.25,9.32,0.00,93.0,19.8,16.89,38.23,16.85,-21.81
41.17,0.15,-0.14,9.33,0.00,93.0,19.8,16.65,38.23,16.85,-23.07
41.21,0.16,0.02,9.27,0.00,93.0,19.8,16.65,38.23,19.34,-23.07
41.25,0.17,-0.08,9.23,0.00,93.0,19.8,17.01,37.96,18.09,-20.56
41.29,0.15,0.11,9.27,0.00,93.0,19.8,16.77,38.50,18.09,-20.56
41.33,0.23,0.36,9.22,0.00,93.0,19.8,17.13,38.50,16.85,-18.05
41.37,0.15,0.43,9.24,0.00,93.0,19.8,16.53,38.23,18.09,-16.80
41.41,0.20,0.54,9.26,0.00,93.0,19.8,17.01,37.96,16.85,-14.29
41.45,0.17,0.49,9.28,0.00,93.0,19.8,17.01,38.23,15.60,-11.78
41.49,0.15,0.65,9.29,0.00,93.0,19.8,17.13,38.23,14.35,-9.28
41.53,0.17,1.03,9.27,0.00,93.0,19.8,17.01,37.96,10.60,-5.52
41.57,0.19,1.03,9.26,0.00,93.0,19.8,16.89,37.96,9.35,-3.01
41.61,0.16,1.22,9.24,0.00,93.0,19.8,16.89,38.50,5.60,0.75
41.65,0.18,1.37,9.28,0.00,93.0,19.8,17.01,37.96,4.35,0.75
41.69,0.17,1.59,9.21,0.00,93.0,19.8,17.25,37.69,0.60,4.51
41.73,0.16,1.70,9.25,0.00,93.0,19.8,17.01,38.23,-0.65,5.77
41.77,0.16,2.01,9.21,0.00,93.0,19.8,17.01,38.23,-1.90,10.78
41.81,0.18,1.92,9.28,0.00,93.0,19.8,17.01,38.50,-6.90,14.54
41.85,0.20,1.95,9.33,0.00,93.0,19.8,16.77,38.50,-8.15,17.05
41.89,0.11,2.19,9.32,0.00,93.0,19.8,17.13,37.96,-10.65,20.81
41.93,0.11,2.12,9.26,0.00,93.0,19.8,16.77,38.50,-13.15,19.56
41.97,0.17,2.25,9.26,0.00,93.0,19.8,16.89,38.50,-16.90,23.32
42.01,0.14,2.21,9.23,0.00,93.0,19.8,17.13,38.50,-20.64,24.57
42.05,0.19,2.15,9.27,0.00,93.0,19.8,16.89,37.69,-21.89,24.57
42.09,0.18,2.14,9.22,0.00,93.0,19.8,17.01,38.50,-24.39,25.82
42.13,0.13,2.06,9.27,0.00,93.0,19.8,17.01,37.96,-24.39,27.08
42.17,0.18,1.78,9.24,0.00,93.0,19.8,17.01,37.96,-25.64,27.08
42.21,0.10,1.80,9.22,0.00,93.0,19.8,17.01,37.96,-26.89,24.57
42.25,0.14,1.77,9.18,0.00,93.0,19.8,16.65,38.23,-26.89,23.32
42.29,0.14,1.53,9.23,0.00,93.0,19.8,17.01,38.23,-26.89,22.06
42.33,0.10,1.51,9.31,0.00,93.0,19.8,17.01,38.23,-26.89,22.06
42.37,0.20,1.14,9.25,0.00,93.0,19.8,17.13,38.23,-24.39,18.30
42.41,0.26,0.98,9.08,0.00,93.0,19.8,17.01,38.23,-24.39,18.30
42.45,0.13,0.83,9.20,0.00,93.0,19.8,16.77,38.50,-20.64,17.05
42.49,0.13,0.91,9.40,0.00,93.0,19.8,16.89,38.23,-20.64,14.54
42.53,0.05,0.54,9.61,0.00,93.0,19.8,16.89,37.43,-15.65,14.54
42.57,0.14,0.33,9.37,0.00,93.0,19.8,17.13,38.23,-14.40,9.53
42.61,0.21,-0.23,9.47,0.00,93.0,19.8,17.01,38.23,-10.65,8.27
42.65,0.20,0.18,9.31,0.00,93.0,19.8,17.25,37.96,-6.90,4.51
42.69,0.19,0.46,9.25,0.00,93.0,19.8,16.89,38.23,-3.15,3.26
42.73,0.23,-0.35,9.25,0.00,93.0,19.8,17.01,37.69,1.85,0.75
42.77,0.20,-0.27,9.34,0.00,93.0,19.8,16.89,38.50,3.10,-0.50
42.81,0.26,-0.33,9.23,0.00,93.0,19.8,16.89,38.23,1.85,-4.26
42.85,0.17,-0.35,9.32,0.00,93.0,19.8,17.01,37.69,4.35,-6.77
42.89,0.17,-0.05,9.29,0.00,93.0,19.8,17.13,38.23,5.60,-8.02
42.93,0.20,-0.42,9.33,0.00,93.0,19.8,16.77,38.23,6.85,-11.78
42.97,0.21,-0.59,9.40,0.00,93.0,19.8,16.89,38.23,9.35,-13.04
43.01,0.18,-0.31,9.35,0.00,93.0,19.8,17.01,38.23,11.85,-15.54
43.05,0.19,-0.28,9.32,0.00,93.0,19.8,16.77,38.23,13.10,-18.05
43.09,0.19,-0.30,9.28,0.00,93.0,19.8,17.01,38.23,15.60,-19.30
43.13,0.19,-0.14,9.24,0.00,93.0,19.8,17.01,37.69,15.60,-21.81
43.17,0.18,-0.21,9.27,0.00,93.0,19.8,17.01,37.96,18.09,-23.07
43.21,0.16,-0.11,9.31,0.00,93.0,19.8,16.53,38.23,19.34,-23.07
43.25,0.14,0.06,9.33,0.00,93.0,19.8,16.65,38.23,19.34,-21.81
43.29,0.23,-0.05,9.29,0.00,93.0,19.8,17.01,38.23,19.34,-21.81
43.33,0.19,0.18,9.25,0.00,93.0,19.8,17.01,37.96,18.09,-20.56
43.37,0.14,0.48,9.29,0.00,93.0,19.8,16.89,38.23,18.09,-8.02
43.41,0.17,0.43,9.27,0.00,93.0,19.8,17.13,38.23,16.85,-15.54
43.45,0.15,0.54,9.25,0.00,93.0,19.8,17.01,37.96,15.60,-13.04
43.49,0.19,0.62,9.26,0.00,93.0,19.8,17.13,38.50,13.10,-10.53
43.53,0.16,0.86,9.27,0.00,93.0,19.8,16.65,38.23,11.85,-6.77
43.57,0.15,1.07,9.21,0.00,93.0,19.8,16.77,37.96,10.60,-4.26
43.61,0.12,1.19,9.27,0.00,93.0,19.8,16.77,37.96,6.85,-1.75
43.65,0.17,1.29,9.22,0.00,93.0,19.8,16.89,37.69,4.35,0.75
43.69,0.18,1.47,9.23,0.00,93.0,19.8,16.77,38.23,1.85,2.01
43.73,0.16,1.85,9.25,0.00,93.0,19.8,16.89,37.96,-0.65,5.77
43.77,0.17,1.78,9.24,0.00,93.0,19.8,17.01,38.23,-3.15,8.27
43.81,0.16,1.84,9.19,0.00,93.0,19.8,16.53,38.23,-4.40,13.29
43.85,0.13,2.04,9.24,0.00,93.0,19.8,17.01,38.50,-8.15,14.54
43.89,0.15,2.06,9.33,0.00,93.0,19.8,17.01,38.23,-11.90,17.05
43.93,0.17,2.14,9.27,0.00,93.0,19.8,16.77,37.96,-11.90,20.81
43.97,0.15,2.22,9.26,0.00,93.0,19.8,17.01,37.96,-14.40,20.81
44.01,0.18,2.12,9.25,0.00,93.0,19.8,17.01,37.16,-18.14,23.32
44.05,0.16,2.21,9.26,0.00,93.0,19.8,16.89,37.96,-18.14,24.57
44.09,0.11,2.24,9.23,0.00,93.0,19.8,17.25,37.69,-23.14,24.57
44.13,0.17,2.01,9.22,0.00,93.0,19.8,16.53,38.23,-24.39,24.57
44.17,0.17,2.04,9.18,0.00,93.0,19.8,16.89,37.96,-25.64,24.57
44.21,0.13,1.78,9.23,0.00,93.0,19.8,16.89,37.96,-25.64,24.57
44.25,0.18,1.71,9.28,0.00,93.0,19.8,16.89,37.96,-25.64,24.57
44.29,0.11,1.62,9.28,0.00,93.0,19.8,17.01,37.96,-26.89,24.57
44.33,0.15,1.48,9.27,0.00,93.0,19.8,16.77,37.96,-26.89,20.81
44.37,0.15,1.39,9.30,0.00,93.0,19.8,17.13,38.23,-25.64,19.56
44.41,0.12,0.91,9.31,0.00,93.0,19.8,16.89,38.50,-23.14,18.30
44.45,0.15,0.75,9.27,0.00,93.0,19.8,17.25,37.96,-23.14,17.05
44.49,0.13,0.90,9.28,0.00,93.0,19.8,17.49,37.96,-21.89,14.54
44.53,0.18,0.86,9.26,0.00,93.0,19.8,16.65,37.69,-18.14,13.29
44.57,0.19,0.87,8.96,0.00,93.0,19.8,17.01,38.23,-14.40,12.03
44.61,0.24,0.01,9.19,0.00,93.0,19.8,16.89,37.96,-11.90,9.53
44.65,0.23,0.15,9.08,0.00,93.0,19.8,16.77,38.23,-8.15,8.27
44.69,0.18,0.35,9.32,0.00,93.0,19.8,17.01,38.23,-5.65,5.77
44.73,0.16,0.27,9.22,0.00,93.0,19.8,16.89,37.96,-3.15,2.01
44.77,0.17,-0.27,9.31,0.00,93.0,19.8,16.89,38.50,0.60,-0.50
44.81,0.17,-0.48,9.29,0.00,93.0,19.8,17.01,38.23,1.85,-4.26
44.85,0.16,-0.31,9.42,0.00,93.0,19.8,16.65,38.23,4.35,-5.52
44.89,0.14,-0.33,9.43,0.00,93.0,19.8,17.01,37.96,4.35,-8.02
44.93,0.21,-0.47,9.47,0.00,93.0,19.8,16.53,38.50,6.85,-10.53
44.97,0.18,-0.43,9.43,0.00,93.0,19.8,17.01,37.96,8.10,-13.04
45.01,0.15,-0.56,9.32,0.00,93.0,19.8,17.13,38.23,10.60,-14.29
45.05,0.20,-0.33,9.33,0.00,93.0,19.8,16.65,37.96,14.35,-14.29
45.09,0.18,-0.11,9.28,0.00,93.0,19.8,16.89,38.23,14.35,-16.80
45.13,0.20,-0.31,9.28,0.00,93.0,19.8,16.77,37.96,16.85,-19.30
45.17,0.21,-0.21,9.31,0.00,93.0,19.8,17.01,38.23,16.85,-20.56
45.21,0.11,-0.11,9.33,0.00,93.0,19.8,16.65,38.23,18.09,-23.07
45.25,0.18,-0.03,9.25,0.00,93.0,19.8,17.01,38.23,18.09,-24.32
45.29,0.19,0.01,9.23,0.00,93.0,19.8,17.01,37.96,18.09,-23.07
45.33,0.18,0.07,9.33,0.00,93.0,19.8,17.01,37.69,18.09,-21.81
45.37,0.22,0.38,9.23,0.00,93.0,19.8,16.89,38.50,18.09,-18.05
45.41,0.15,0.47,9.29,0.00,93.0,19.8,16.89,37.96,16.85,-18.05
45.45,0.16,0.55,9.25,0.00,93.0,19.8,16.77,38.50,16.85,-13.04
45.49,0.20,0.59,9.24,0.00,93.0,19.8,17.25,37.96,15.60,-10.53
45.53,0.17,0.65,9.21,0.00,93.0,19.8,17.01,37.69,11.85,-9.28
45.57,0.18,1.13,9.19,0.00,93.0,19.8,16.77,37.96,10.60,-5.52
45.61,0.19,1.17,9.19,0.00,93.0,19.8,16.89,38.23,6.85,-3.01
45.65,0.20,1.18,9.25,0.00,93.0,19.8,16.77,37.96,5.60,-0.50
45.69,0.19,1.38,9.27,0.00,93.0,19.8,16.89,38.23,3.10,2.01
45.73,0.12,1.63,9.19,0.00,93.0,19.8,17.01,37.96,0.60,4.51
45.77,0.16,1.59,9.23,0.00,93.0,19.8,17.01,37.69,-3.15,7.02
45.81,0.16,2.01,9.22,0.00,93.0,19.8,16.65,38.50,-1.90,10.78
45.85,0.19,1.97,9.23,0.00,93.0,19.8,16.89,37.96,-6.90,12.03
45.89,0.16,1.94,9.33,0.00,93.0,19.8,17.01,37.96,-9.40,17.05
45.93,0.13,2.22,9.37,0.00,93.0,19.8,16.89,37.96,-10.65,18.30
45.97,0.16,2.04,9.32,0.00,93.0,19.8,17.01,37.96,-14.40,20.81
46.01,0.16,2.18,9.28,0.00,93.0,19.8,17.13,38.50,-15.65,23.32
46.05,0.11,2.23,9.24,0.00,93.0,19.8,17.01,37.96,-19.39,23.32
46.09,0.19,2.19,9.25,0.00,93.0,19.8,17.13,38.23,-21.89,23.32
46.13,0.17,2.07,9.24,0.00,93.0,19.8,16.77,37.96,-24.39,24.57
46.17,0.13,2.06,9.28,0.00,93.0,19.8,17.13,37.96,-25.64,25.82
46.21,0.20,1.79,9.24,0.00,93.0,19.8,16.77,38.23,-25.64,24.57
